sheet,period,chain,co_owned,state,empft,emppt,wage_st,fte,dfte,gap,dw
69,2,1,0,1,0,27,5.05,13.5,0,0.188235,0.8
70,1,1,0,1,35,20,4.5,45,-20,0.122222,0.55
70,2,1,0,1,10,30,5.05,25,-20,0.122222,0.55
71,1,1,0,1,0,35,4.75,17.5,18.5,0.063158,0.3
71,2,1,0,1,29,14,5.05,36,18.5,0.063158,0.3
73,1,2,0,1,0,7,4.25,3.5,10.5,0.188235,0.8
73,2,2,0,1,14,0,5.05,14,10.5,0.188235,0.8
75,1,2,0,1,3,15,4.25,10.5,-1,0.188235,0.8
75,2,2,0,1,4,11,5.05,9.5,-1,0.188235,0.8
76,1,3,1,1,8,32,4.25,24,8.5,0.188235,0.8
76,2,3,1,1,25,15,5.05,32.5,8.5,0.188235,0.8
77,1,3,0,1,6,50,5,31,3,0.01,0.05
77,2,3,0,1,4,60,5.05,34,3,0.01,0.05
78,1,3,1,1,13,10,5,18,-2,0.01,0.05
78,2,3,1,1,10,12,5.05,16,-2,0.01,0.05
79,1,3,1,1,6,25,4.5,18.5,-1.5,0.122222,0.55
79,2,3,1,1,8,18,5.05,17,-1.5,0.122222,0.55
81,1,4,0,1,25,13,5,31.5,-9,0.01,0.05
81,2,4,0,1,0,45,5.05,22.5,-9,0.01,0.05
82,1,4,0,1,8,14.5,5,15.25,13.75,0.01,0.05
82,2,4,0,1,25,8,5.05,29,13.75,0.01,0.05
84,1,1,0,1,4,30,4.5,19,8,0.122222,0.55
84,2,1,0,1,12,30,5.05,27,8,0.122222,0.55
85,1,1,0,1,7,20,5.5,17,0.5,0,-0.45
85,2,1,0,1,0,35,5.05,17.5,0.5,0,-0.45
86,1,1,0,1,11,11,4.25,16.5,-1.5,0.188235,0.8
86,2,1,0,1,9,12,5.05,15,-1.5,0.188235,0.8
88,1,1,0,1,3,35,4.25,20.5,2,0.188235,0.8
88,2,1,0,1,4,37,5.05,22.5,2,0.188235,0.8
89,1,1,1,1,10,6,5,13,5.5,0.01,0.5
89,2,1,1,1,6,25,5.5,18.5,5.5,0.01,0.5
91,1,1,1,1,8,22,4.25,19,-4,0.188235,0.8
91,2,1,1,1,0,30,5.05,15,-4,0.188235,0.8
92,1,1,1,1,4,18,4.25,13,4,0.188235,0.8
92,2,1,1,1,14,6,5.05,17,4,0.188235,0.8
93,1,1,1,1,2.5,30,4.25,17.5,0,0.188235,0.8
93,2,1,1,1,5,25,5.05,17.5,0,0.188235,0.8
94,1,2,0,1,0,25,5,12.5,-0.5,0.01,0.05
94,2,2,0,1,2,20,5.05,12,-0.5,0.01,0.05
95,1,2,0,1,18,3,4.25,19.5,-12.5,0.188235,0.8
95,2,2,0,1,0,14,5.05,7,-12.5,0.188235,0.8
96,1,2,0,1,0,15,4.25,7.5,0,0.188235,0.8
96,2,2,0,1,0,15,5.05,7.5,0,0.188235,0.8
97,1,2,0,1,0,12,4.25,6,2,0.188235,0.8
97,2,2,0,1,2.5,11,5.05,8,2,0.188235,0.8
98,1,2,0,1,0,20,4.25,10,-0.5,0.188235,0.8
98,2,2,0,1,3,13,5.05,9.5,-0.5,0.188235,0.8
99,1,3,1,1,60,40,4.75,80,-25,0.063158,0.3
99,2,3,1,1,30,50,5.05,55,-25,0.063158,0.3
101,1,3,0,1,4.5,15,4.75,12,4,0.063158,0.3
101,2,3,0,1,10,12,5.05,16,4,0.063158,0.3
102,1,3,0,1,12,13,4.4,18.5,-5,0.147727,0.65
102,2,3,0,1,0,27,5.05,13.5,-5,0.147727,0.65
104,1,4,0,1,40,20,4.62,50,-34,0.093074,0.43
104,2,4,0,1,11,10,5.05,16,-34,0.093074,0.43
105,1,1,0,1,0,40,4.25,20,2.5,0.188235,0.8
105,2,1,0,1,0,45,5.05,22.5,2.5,0.188235,0.8
106,1,1,0,1,0,35,4.25,17.5,-3,0.188235,0.8
106,2,1,0,1,2,25,5.05,14.5,-3,0.188235,0.8
107,1,1,1,1,6,11,4.25,11.5,7,0.188235,0.8
107,2,1,1,1,13.5,10,5.05,18.5,7,0.188235,0.8
108,1,1,0,1,13.5,15,4.25,21,2,0.188235,0.8
108,2,1,0,1,11,24,5.05,23,2,0.188235,0.8
111,1,3,0,1,17,14,4.25,24,3.25,0.188235,0.8
111,2,3,0,1,20,14.5,5.05,27.25,3.25,0.188235,0.8
112,1,4,0,1,4,26,5,17,0.5,0.01,0.05
112,2,4,0,1,5,25,5.05,17.5,0.5,0.01,0.05
114,1,1,0,1,0,35,4.75,17.5,22.5,0.063158,0.5
114,2,1,0,1,20,40,5.25,40,22.5,0.063158,0.5
115,1,1,0,1,20,25,4.75,32.5,-19,0.063158,0.3
115,2,1,0,1,6,15,5.05,13.5,-19,0.063158,0.3
116,1,1,0,1,4,22.5,4.25,15.25,12.75,0.188235,0.8
116,2,1,0,1,22,12,5.05,28,12.75,0.188235,0.8
118,1,1,0,1,10,15,4.25,17.5,10.5,0.188235,0.8
118,2,1,0,1,18,20,5.05,28,10.5,0.188235,0.8
119,1,1,0,1,12,19,4.75,21.5,3,0.063158,0.3
119,2,1,0,1,18,13,5.05,24.5,3,0.063158,0.3
120,1,1,1,1,0,32,4.5,16,-1,0.122222,0.55
120,2,1,1,1,0,30,5.05,15,-1,0.122222,0.55
122,1,1,0,1,1,38,4.25,20,15,0.188235,0.8
122,2,1,0,1,10,50,5.05,35,15,0.188235,0.8
124,1,1,0,1,8,10,4.25,13,11,0.188235,0.8
124,2,1,0,1,21,6,5.05,24,11,0.188235,0.8
125,1,2,0,1,15,0,4.5,15,-7.5,0.122222,0.55
125,2,2,0,1,0,15,5.05,7.5,-7.5,0.122222,0.55
128,1,2,1,1,6.5,7.5,5,10.25,0.75,0.01,0.05
128,2,2,1,1,3,16,5.05,11,0.75,0.01,0.05
129,1,3,0,1,20,20,5.25,30,-14,0,-0.2
129,2,3,0,1,7,18,5.05,16,-14,0,-0.2
130,1,3,1,1,7,25.5,4.5,19.75,1.25,0.122222,0.55
130,2,3,1,1,2,38,5.05,21,1.25,0.122222,0.55
131,1,3,0,1,15,25,5.5,27.5,-8.5,0,-0.45
131,2,3,0,1,8,22,5.05,19,-8.5,0,-0.45
132,1,3,1,1,20,20,4.5,30,-5,0.122222,1
132,2,3,1,1,15,20,5.5,25,-5,0.122222,1
133,1,3,1,1,6,16,4.75,14,-1,0.063158,0.3
133,2,3,1,1,3,20,5.05,13,-1,0.063158,0.3
134,1,3,0,1,5.5,25,4.62,18,1.75,0.093074,0.43
134,2,3,0,1,6,27.5,5.05,19.75,1.75,0.093074,0.43
137,1,3,1,1,15,25,4.25,27.5,-0.5,0.188235,0.8
137,2,3,1,1,12,30,5.05,27,-0.5,0.188235,0.8
140,1,4,0,1,0,40,4.5,20,2.5,0.122222,1.17
140,2,4,0,1,5,35,5.67,22.5,2.5,0.122222,1.17
141,1,4,0,1,10,15,4.75,17.5,5,0.063158,0.3
141,2,4,0,1,10,25,5.05,22.5,5,0.063158,0.3
142,1,4,0,1,15,35,4.25,32.5,23,0.188235,0.8
142,2,4,0,1,40,31,5.05,55.5,23,0.188235,0.8
144,1,4,0,1,10,30,5.05,25,-2.5,0,0
144,2,4,0,1,4,37,5.05,22.5,-2.5,0,0
145,1,1,0,1,5,17,5,13.5,0.5,0.01,0.28
145,2,1,0,1,10,8,5.28,14,0.5,0.01,0.28
146,1,1,0,1,8,20,4.8,18,-2,0.052083,0.25
146,2,1,0,1,0,32,5.05,16,-2,0.052083,0.25
147,1,1,0,1,8.5,6.5,5.12,11.75,-5.75,0,0.13
147,2,1,0,1,6,0,5.25,6,-5.75,0,0.13
148,1,1,0,1,4.5,30,5.25,19.5,3,0,-0.2
148,2,1,0,1,7.5,30,5.05,22.5,3,0,-0.2
149,1,1,0,1,0,20,4.5,10,3,0.122222,0.55
149,2,1,0,1,8,10,5.05,13,3,0.122222,0.55
150,1,1,0,1,0,27.5,4.67,13.75,8.25,0.08137,1.08
150,2,1,0,1,12,20,5.75,22,8.25,0.08137,1.08
152,1,1,0,1,35,15,5.12,42.5,-23.75,0,-0.07
152,2,1,0,1,12,13.5,5.05,18.75,-23.75,0,-0.07
156,1,1,0,1,8,15,4.87,15.5,-4.5,0.036961,0.18
156,2,1,0,1,2,18,5.05,11,-4.5,0.036961,0.18
157,1,2,0,1,10,5,5,12.5,3.5,0.01,0.5
157,2,2,0,1,12,8,5.5,16,3.5,0.01,0.5
158,1,2,0,1,2,7,4.5,5.5,-0.5,0.122222,0.55
158,2,2,0,1,3,4,5.05,5,-0.5,0.122222,0.55
159,1,2,0,1,6,12,4.5,12,0.5,0.122222,0.75
159,2,2,0,1,10,5,5.25,12.5,0.5,0.122222,0.75
161,1,3,1,1,8,25,5,20.5,11.5,0.01,0.05
161,2,3,1,1,26,12,5.05,32,11.5,0.01,0.05
162,1,3,1,1,0,40,4.75,20,-2,0.063158,0.3
162,2,3,1,1,3,30,5.05,18,-2,0.063158,0.3
163,1,3,1,1,12,18,5,21,-3,0.01,0.05
163,2,3,1,1,1.5,33,5.05,18,-3,0.01,0.05
164,1,3,1,1,4,30,5,19,-6.5,0.01,0.05
164,2,3,1,1,5,15,5.05,12.5,-6.5,0.01,0.05
165,1,4,0,1,20,10,5,25,-6.5,0.01,0.05
165,2,4,0,1,10,17,5.05,18.5,-6.5,0.01,0.05
166,1,4,0,1,8,32,4.75,24,-6.5,0.063158,0.3
166,2,4,0,1,0,35,5.05,17.5,-6.5,0.063158,0.3
168,1,1,0,1,5,20,4.25,15,1,0.188235,1
168,2,1,0,1,0,32,5.25,16,1,0.188235,1
169,1,1,1,1,12,33,5,28.5,-5.5,0.01,0.05
169,2,1,1,1,20,6,5.05,23,-5.5,0.01,0.05
170,1,1,1,1,10,20,5,20,10,0.01,0.05
170,2,1,1,1,20,20,5.05,30,10,0.01,0.05
171,1,1,1,1,2,32,4.25,18,-1.75,0.188235,0.8
171,2,1,1,1,10,12.5,5.05,16.25,-1.75,0.188235,0.8
172,1,1,0,1,0,24,4.75,12,6.5,0.063158,0.3
172,2,1,0,1,7,23,5.05,18.5,6.5,0.063158,0.3
173,1,1,0,1,6,40,4.85,26,0,0.041237,0.2
173,2,1,0,1,11,30,5.05,26,0,0.041237,0.2
174,1,1,0,1,11,20,4.75,21,9,0.063158,0.3
174,2,1,0,1,20,20,5.05,30,9,0.063158,0.3
176,1,1,0,1,15,21,4.62,25.5,8.25,0.093074,0.43
176,2,1,0,1,20,27.5,5.05,33.75,8.25,0.093074,0.43
178,1,2,1,1,13,12,4.25,19,-13,0.188235,0.8
178,2,2,1,1,1,10,5.05,6,-13,0.188235,0.8
179,1,2,0,1,2,12,4.25,8,-1,0.188235,0.8
179,2,2,0,1,2,10,5.05,7,-1,0.188235,0.8
180,1,2,0,1,8,3,4.5,9.5,-0.75,0.122222,0.55
180,2,2,0,1,0,17.5,5.05,8.75,-0.75,0.122222,0.55
182,1,2,0,1,3,15,4.5,10.5,-3,0.122222,0.55
182,2,2,0,1,0,15,5.05,7.5,-3,0.122222,0.55
183,1,2,0,1,12,4,4.62,14,6,0.093074,0.43
183,2,2,0,1,15,10,5.05,20,6,0.093074,0.43
185,1,2,0,1,2,9,4.5,6.5,-1.5,0.122222,0.55
185,2,2,0,1,2,6,5.05,5,-1.5,0.122222,0.55
186,1,3,0,1,10,20,4.75,20,1,0.063158,0.3
186,2,3,0,1,12,18,5.05,21,1,0.063158,0.3
187,1,3,0,1,4,20,5.62,14,-0.25,0,-0.57
187,2,3,0,1,5,17.5,5.05,13.75,-0.25,0,-0.57
189,1,3,0,1,4,15,4.75,11.5,-2,0.063158,0.3
189,2,3,0,1,0,19,5.05,9.5,-2,0.063158,0.3
190,1,3,1,1,5,42,5,26,-4,0.01,0.05
190,2,3,1,1,7,30,5.05,22,-4,0.01,0.05
192,1,4,0,1,20,10,4.87,25,-5.5,0.036961,0.38
192,2,4,0,1,4.5,30,5.25,19.5,-5.5,0.036961,0.38
193,1,4,0,1,1,13,4.5,7.5,1,0.122222,0.55
193,2,4,0,1,4,9,5.05,8.5,1,0.122222,0.55
195,1,4,0,1,0,30,4.25,15,5.5,0.188235,0.8
195,2,4,0,1,8,25,5.05,20.5,5.5,0.188235,0.8
196,1,4,1,1,8,19,5,17.5,-2.5,0.01,0.05
196,2,4,1,1,0,30,5.05,15,-2.5,0.01,0.05
197,1,1,0,1,23,10,5,28,-12.5,0.01,0.05
197,2,1,0,1,5,21,5.05,15.5,-12.5,0.01,0.05
199,1,2,0,1,0,12,4.35,6,6.5,0.16092,0.7
199,2,2,0,1,11,3,5.05,12.5,6.5,0.16092,0.7
200,1,1,0,1,0,60,4.25,30,-5,0.188235,0.8
200,2,1,0,1,5,40,5.05,25,-5,0.188235,0.8
201,1,1,0,1,0,33,4.5,16.5,10.5,0.122222,0.55
201,2,1,0,1,16,22,5.05,27,10.5,0.122222,0.55
202,1,1,0,1,30,14,4.25,37,-18.5,0.188235,0.8
202,2,1,0,1,13,11,5.05,18.5,-18.5,0.188235,0.8
203,1,1,0,1,9,12,4.25,15,6,0.188235,0.8
203,2,1,0,1,4,34,5.05,21,6,0.188235,0.8
204,1,1,0,1,10,8.5,4.25,14.25,4.5,0.188235,0.8
204,2,1,0,1,12,13.5,5.05,18.75,4.5,0.188235,0.8
207,1,2,1,1,8,10,4.75,13,-1.5,0.063158,0.45
207,2,2,1,1,8.5,6,5.2,11.5,-1.5,0.063158,0.45
208,1,3,1,1,12,32,4.62,28,-7,0.093074,0.43
208,2,3,1,1,5,32,5.05,21,-7,0.093074,0.43
209,1,3,1,1,4,36,4.25,22,2.5,0.188235,0.8
209,2,3,1,1,6,37,5.05,24.5,2.5,0.188235,0.8
210,1,4,1,1,0,19,4.5,9.5,-2.5,0.122222,0.55
210,2,4,1,1,0,14,5.05,7,-2.5,0.122222,0.55
211,1,1,0,1,3,28,4.5,17,2.5,0.122222,0.55
211,2,1,0,1,2,35,5.05,19.5,2.5,0.122222,0.55
212,1,1,0,1,11,17.5,4.5,19.75,7.75,0.122222,0.55
212,2,1,0,1,20,15,5.05,27.5,7.75,0.122222,0.55
213,1,1,1,1,4.5,20,4.55,14.5,6.25,0.10989,0.5
213,2,1,1,1,12,17.5,5.05,20.75,6.25,0.10989,0.5
214,1,1,0,1,2,30,4.62,17,0.5,0.093074,0.43
214,2,1,0,1,0,35,5.05,17.5,0.5,0.093074,0.43
215,1,1,0,1,10,10,4.5,15,10,0.122222,0.55
215,2,1,0,1,20,10,5.05,25,10,0.122222,0.55
216,1,2,0,1,2,11,4.25,7.5,3.5,0.188235,0.8
216,2,2,0,1,2,18,5.05,11,3.5,0.188235,0.8
217,1,2,1,1,2,13,4.25,8.5,-2.5,0.188235,0.8
217,2,2,1,1,0,12,5.05,6,-2.5,0.188235,0.8
218,1,2,1,1,7,4,4.35,9,-2.5,0.16092,0.7
218,2,2,1,1,5,3,5.05,6.5,-2.5,0.16092,0.7
219,1,2,1,1,3,9,4.25,7.5,6,0.188235,0.8
219,2,2,1,1,9,9,5.05,13.5,6,0.188235,0.8
220,1,2,0,1,3,15,4.25,10.5,-1.5,0.188235,0.8
220,2,2,0,1,3,12,5.05,9,-1.5,0.188235,0.8
221,1,2,0,1,1,28,4.6,15,-6.5,0.097826,0.45
221,2,2,0,1,1,15,5.05,8.5,-6.5,0.097826,0.45
222,1,3,1,1,2,24,4.25,14,-4.5,0.188235,0.8
222,2,3,1,1,2,15,5.05,9.5,-4.5,0.188235,0.8
223,1,3,1,1,3,18,4.75,12,1,0.063158,0.3
223,2,3,1,1,3,20,5.05,13,1,0.063158,0.3
225,1,3,1,1,3,27,4.75,16.5,8,0.063158,0.3
225,2,3,1,1,12,25,5.05,24.5,8,0.063158,0.3
226,1,4,0,1,0,22,4.25,11,2,0.188235,1.05
226,2,4,0,1,0,26,5.3,13,2,0.188235,1.05
228,1,4,0,1,3,28.5,4.5,17.25,3.25,0.122222,0.55
228,2,4,0,1,11,19,5.05,20.5,3.25,0.122222,0.55
229,1,1,0,1,3,40,4.5,23,4.5,0.122222,1
229,2,1,0,1,22,11,5.5,27.5,4.5,0.122222,1
230,1,1,0,1,0,25,4.25,12.5,11,0.188235,0.8
230,2,1,0,1,15,17,5.05,23.5,11,0.188235,0.8
232,1,1,0,1,18,6,4.75,21,2,0.063158,0.3
232,2,1,0,1,18,10,5.05,23,2,0.063158,0.3
233,1,1,0,1,19,7,4.65,22.5,-4,0.086021,0.4
233,2,1,0,1,15,7,5.05,18.5,-4,0.086021,0.4
234,1,1,0,1,0,10,5,5,7,0.01,0.05
234,2,1,0,1,10,4,5.05,12,7,0.01,0.05
237,1,1,0,1,12,11,4.25,17.5,0,0.188235,0.8
237,2,1,0,1,9,17,5.05,17.5,0,0.188235,0.8
238,1,2,1,1,0,22,4.75,11,21.5,0.063158,0.3
238,2,2,1,1,25,15,5.05,32.5,21.5,0.063158,0.3
239,1,2,0,1,15,4,4.25,17,-7.5,0.188235,0.8
239,2,2,0,1,0,19,5.05,9.5,-7.5,0.188235,0.8
240,1,3,1,1,15,35,5.1,32.5,-10,0,-0.05
240,2,3,1,1,15,15,5.05,22.5,-10,0,-0.05
242,1,3,1,1,25,10,5.25,30,-13,0,-0.2
242,2,3,1,1,12,10,5.05,17,-13,0,-0.2
243,1,3,1,1,7,25,4.5,19.5,-1.5,0.122222,0.55
243,2,3,1,1,7,22,5.05,18,-1.5,0.122222,0.55
244,1,3,1,1,12,30,4.25,27,-5,0.188235,0.8
244,2,3,1,1,16,12,5.05,22,-5,0.188235,0.8
245,1,3,0,1,15,8,5.5,19,-5,0,-0.45
245,2,3,0,1,8,12,5.05,14,-5,0,-0.45
247,1,4,0,1,0,40,4.5,20,0,0.122222,0.55
247,2,4,0,1,0,40,5.05,20,0,0.122222,0.55
248,1,4,0,1,8,16,4.75,16,1,0.063158,0.3
248,2,4,0,1,10,14,5.05,17,1,0.063158,0.3
249,1,1,0,1,6,6,4.37,9,7,0.155606,0.68
249,2,1,0,1,10,12,5.05,16,7,0.155606,0.68
250,1,2,1,1,1,4,4.5,3,1,0.122222,0.55
250,2,2,1,1,2,4,5.05,4,1,0.122222,0.55
253,1,3,1,1,7,7,4.87,10.5,-2.5,0.036961,0.18
253,2,3,1,1,4,8,5.05,8,-2.5,0.036961,0.18
258,1,1,0,1,4,22,4.25,15,14,0.188235,0.8
258,2,1,0,1,20,18,5.05,29,14,0.188235,0.8
259,1,1,0,1,13,12,5,19,3.5,0.01,0.05
259,2,1,0,1,15,15,5.05,22.5,3.5,0.01,0.05
260,1,1,1,1,10,20,4.25,20,-3,0.188235,0.8
260,2,1,1,1,4,26,5.05,17,-3,0.188235,0.8
262,1,1,0,1,7,13,4.25,13.5,-2.25,0.188235,0.8
262,2,1,0,1,0,22.5,5.05,11.25,-2.25,0.188235,0.8
264,1,1,0,1,0,10,4.25,5,6.5,0.188235,0.8
264,2,1,0,1,0,23,5.05,11.5,6.5,0.188235,0.8
267,1,1,0,1,6.5,20,4.25,16.5,26,0.188235,0.8
267,2,1,0,1,30,25,5.05,42.5,26,0.188235,0.8
268,1,1,1,1,10,18,5,19,2.25,0.01,0.05
268,2,1,1,1,0,42.5,5.05,21.25,2.25,0.01,0.05
269,1,2,1,1,2,10,4.45,7,4.5,0.134832,0.6
269,2,2,1,1,10,3,5.05,11.5,4.5,0.134832,0.6
271,1,2,1,1,0,13,5,6.5,1,0.01,0.05
271,2,2,1,1,0,15,5.05,7.5,1,0.01,0.05
272,1,2,1,1,4,11,5.05,9.5,-0.5,0,0.2
272,2,2,1,1,2,14,5.25,9,-0.5,0,0.2
273,1,2,1,1,2,14,4.62,9,-1.5,0.093074,0.43
273,2,2,1,1,2,11,5.05,7.5,-1.5,0.093074,0.43
274,1,2,1,1,0,15,5.5,7.5,-1,0,-0.45
274,2,2,1,1,3,7,5.05,6.5,-1,0,-0.45
275,1,2,1,1,4,4,4.25,6,-1,0.188235,0.8
275,2,2,1,1,1,8,5.05,5,-1,0.188235,0.8
276,1,2,1,1,5,10,5,10,2.5,0.01,0.05
276,2,2,1,1,5,15,5.05,12.5,2.5,0.01,0.05
277,1,2,1,1,2,15,4.25,9.5,-1.5,0.188235,0.8
277,2,2,1,1,1,14,5.05,8,-1.5,0.188235,0.8
278,1,2,1,1,3,4,4.25,5,-0.5,0.188235,0.8
278,2,2,1,1,0,9,5.05,4.5,-0.5,0.188235,0.8
284,1,3,1,1,5,23,4.5,16.5,-4.5,0.122222,0.55
284,2,3,1,1,6,12,5.05,12,-4.5,0.122222,0.55
285,1,3,1,1,3,25,4.75,15.5,-5,0.063158,0.3
285,2,3,1,1,3,15,5.05,10.5,-5,0.063158,0.3
286,1,3,1,1,1,15,4.75,8.5,1,0.063158,0.3
286,2,3,1,1,2,15,5.05,9.5,1,0.063158,0.3
287,1,3,1,1,3,18,4.5,12,-2.5,0.122222,0.55
287,2,3,1,1,2,15,5.05,9.5,-2.5,0.122222,0.55
288,1,3,1,1,0,20,4.75,10,-0.5,0.063158,0.3
288,2,3,1,1,5,9,5.05,9.5,-0.5,0.063158,0.3
289,1,3,1,1,2,12,4.25,8,0,0.188235,0.8
289,2,3,1,1,3,10,5.05,8,0,0.188235,0.8
